#ID DescID UPID Flags Uparent_Dist X Y Z VX VY VZ M V MP VMP R Rank1 Rank2 RA RARank SM ICL SFR obs_SM obs_SFR SSFR SM/HM obs_UV
#UniverseMachine Version: 1.0
#Columns:
#ID: Unique halo ID
#DescID: ID of descendant halo (or -1 at z=0).
#UPID: -1 for central halos, otherwise, ID of largest parent halo
#Flags: Ignore
#Uparent_Dist: Ignore
#X Y Z: halo position (comoving Mpc/h)
#VX VY VZ: halo velocity (physical peculiar km/s)
#M: Halo mass (Bryan & Norman 1998 virial mass, Msun)
#V: Halo vmax (physical km/s)
#MP: Halo peak historical mass (BN98 vir, Msun)
#VMP: Halo vmax at the time when peak mass was reached.
#R: Halo radius (BN98 vir, comoving kpc/h)
#Rank1: halo rank in Delta_vmax (see UniverseMachine paper)
#Rank2, RA, RARank: Ignore
#SM: True stellar mass (Msun)
#ICL: True intracluster stellar mass (Msun)
#SFR: True star formation rate (Msun/yr)
#Obs_SM: observed stellar mass, including random & systematic errors (Msun)
#Obs_SFR: observed SFR, including random & systematic errors (Msun/yr)
#SSFR: observed SSFR
#SMHM: SM/HM ratio
#Obs_UV: Observed UV Magnitude (M_1500 AB)
#h = 0.680000
#Omega_Matter = 0.307115
#Omega_Lambda = 0.692885
#Box size: 250.000000 Mpc/h
#Note: all halo masses converted to be in Msun, not Msun/h.
#ID DescID UPID Flags Uparent_Dist X Y Z VX VY VZ M V MP VMP R Rank1 Rank2 RA RARank SM ICL SFR obs_SM obs_SFR SSFR SM/HM obs_UV
1636 8843 -1 131 2.000000 53.992031 65.479202 236.934998 -165.149994 -1.810000 97.959999 9.116e+08 47.500000 9.116e+08 47.500000 21.379000 -0.331322 -5.612001 -0.759249 -0.759249 1.081e+04 0.000e+00 6.004e-05 1.204e+04 5.704e-05 4.737e-09 1.186e-05 -7.737
1246 8804 -1 131 2.000000 50.096451 83.853821 198.855026 -129.809998 -1.860000 25.230000 4.101e+09 80.070000 4.101e+09 80.070000 35.296001 -0.220028 -5.612001 -0.628573 -0.628573 7.697e-03 0.000e+00 4.275e-11 8.573e-03 4.061e-11 4.737e-09 1.877e-12 7.631
1257 8784 -1 131 2.000000 45.562660 72.343193 193.131546 -44.180000 15.510000 166.270004 3.647e+09 75.800003 3.647e+09 75.800003 33.937000 -0.077939 -5.612001 0.470876 0.470876 7.166e-02 0.000e+00 3.980e-10 7.369e-03 3.781e-10 5.130e-08 1.965e-11 5.208
1961 9011 -1 131 2.000000 57.761971 133.803467 42.990730 -159.550003 112.830002 -2.370000 2.963e+09 79.370003 2.963e+09 79.370003 31.667000 -0.205128 -5.612001 0.073583 0.073583 1.530e-02 0.000e+00 8.500e-11 1.705e-02 8.074e-11 4.737e-09 5.164e-12 6.885
2356 9148 -1 131 2.000000 57.943588 183.546661 81.623657 -132.970001 -62.709999 -3.710000 1.367e+09 61.990002 1.367e+09 61.990002 24.473000 -0.672474 -5.612001 -0.503504 -0.503504 7.972e+00 0.000e+00 4.428e-08 8.880e+00 4.206e-08 4.737e-09 5.830e-09 0.093
2128 9029 -1 131 2.000000 63.075050 158.999985 48.446060 -198.220001 6.150000 40.849998 2.735e+09 78.389999 2.735e+09 78.389999 30.834000 -0.166352 -5.612001 0.217522 0.217522 2.379e-02 0.000e+00 1.321e-10 2.447e-03 1.255e-10 5.130e-08 8.697e-12 6.406
2799 9319 -1 131 2.000000 40.885910 203.125137 105.830460 -80.459999 -209.990005 -81.980003 4.329e+09 105.940002 4.329e+09 105.940002 35.938000 -1.117308 -5.612001 0.759310 0.759310 6.901e-06 0.000e+00 3.833e-14 7.687e-06 3.641e-14 4.737e-09 1.594e-15 15.249
2505 9301 -1 131 2.000000 43.490139 200.438232 87.923203 42.119999 -112.279999 51.209999 9.116e+08 47.889999 9.116e+08 47.889999 21.379000 -0.368836 0.084468 -1.615454 -1.615454 5.007e+03 0.000e+00 2.781e-05 5.149e+02 2.642e-05 5.130e-08 5.492e-06 -6.902
2489 9304 -1 131 2.000000 44.742310 200.306183 88.072639 -103.010002 -76.129997 23.930000 1.367e+09 54.759998 1.367e+09 54.759998 24.473000 -1.223617 -5.612001 -0.400543 -0.400543 2.145e+02 0.000e+00 1.191e-06 2.043e+02 1.132e-06 5.539e-09 1.568e-07 -3.482
3466 9416 -1 131 2.000000 48.509628 182.496811 206.517227 29.450001 109.269997 5.620000 4.557e+08 60.580002 4.557e+08 60.580002 16.968000 -1.084282 -5.612001 -0.566644 -0.566644 1.276e+01 0.000e+00 7.087e-08 1.646e+01 6.732e-08 4.091e-09 2.800e-08 -0.418
